Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"IG","Government Expenditure","056","Belgium","6110","Value US$","23130","Total Expenditure (General Government)","2005","2005","millions","196880.689449","X","Figure from international organizations","Consolidated General Government Expenditure"
"IG","Government Expenditure","056","Belgium","6110","Value US$","23130","Total Expenditure (General Government)","2006","2006","millions","195798.776751","X","Figure from international organizations","Consolidated General Government Expenditure"
"IG","Government Expenditure","056","Belgium","6110","Value US$","23130","Total Expenditure (General Government)","2007","2007","millions","224672.015877","X","Figure from international organizations","Consolidated General Government Expenditure"
"IG","Government Expenditure","056","Belgium","6110","Value US$","23130","Total Expenditure (General Government)","2008","2008","millions","257120.407672","X","Figure from international organizations","Consolidated General Government Expenditure"
"IG","Government Expenditure","056","Belgium","6110","Value US$","23130","Total Expenditure (General Government)","2009","2009","millions","262307.083676","A","Official figure","Consolidated General Government Expenditure"
"IG","Government Expenditure","056","Belgium","6110","Value US$","23130","Total Expenditure (General Government)","2010","2010","millions","257662.856076","A","Official figure","Consolidated General Government Expenditure"
"IG","Government Expenditure","056","Belgium","6110","Value US$","23130","Total Expenditure (General Government)","2011","2011","millions","286735.848132","A","Official figure","Consolidated General Government Expenditure"
"IG","Government Expenditure","056","Belgium","6110","Value US$","23130","Total Expenditure (General Government)","2012","2012","millions","277966.176803","A","Official figure","Consolidated General Government Expenditure"
"IG","Government Expenditure","056","Belgium","6110","Value US$","23130","Total Expenditure (General Government)","2013","2013","millions","290857.71481","A","Official figure","Consolidated General Government Expenditure"
"IG","Government Expenditure","056","Belgium","6110","Value US$","23130","Total Expenditure (General Government)","2014","2014","millions","293398.732391","A","Official figure","Consolidated General Government Expenditure"
"IG","Government Expenditure","056","Belgium","6110","Value US$","23130","Total Expenditure (General Government)","2015","2015","millions","248264.75179","A","Official figure","Consolidated General Government Expenditure"
"IG","Government Expenditure","056","Belgium","6110","Value US$","23130","Total Expenditure (General Government)","2016","2016","millions","252702.151498","A","Official figure","Consolidated General Government Expenditure"
"IG","Government Expenditure","056","Belgium","6110","Value US$","23130","Total Expenditure (General Government)","2017","2017","millions","261558.072647","A","Official figure","Consolidated General Government Expenditure"
"IG","Government Expenditure","056","Belgium","6110","Value US$","23130","Total Expenditure (General Government)","2018","2018","millions","283612.456684","A","Official figure","Consolidated General Government Expenditure"
"IG","Government Expenditure","056","Belgium","6110","Value US$","23130","Total Expenditure (General Government)","2019","2019","millions","277492.538981","A","Official figure","Consolidated General Government Expenditure"
