Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FDI","Foreign Direct Investment (FDI)","058","Belgium-Luxembourg","6110","Value US$","23082","Total FDI inflows","1998","1998","millions","22690.5","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","058","Belgium-Luxembourg","6110","Value US$","23082","Total FDI inflows","1999","1999","millions","119692.913","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","058","Belgium-Luxembourg","6110","Value US$","23082","Total FDI inflows","2000","2000","millions","88738.714","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","058","Belgium-Luxembourg","6110","Value US$","23082","Total FDI inflows","2001","2001","millions","88203.254","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","070","Bosnia and Herzegovina","6110","Value US$","23082","Total FDI inflows","1998","1998","millions","66.736377","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","070","Bosnia and Herzegovina","6110","Value US$","23082","Total FDI inflows","1999","1999","millions","176.78015","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","070","Bosnia and Herzegovina","6110","Value US$","23082","Total FDI inflows","2000","2000","millions","146.075577","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","070","Bosnia and Herzegovina","6110","Value US$","23082","Total FDI inflows","2001","2001","millions","118.86707","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","070","Bosnia and Herzegovina","6110","Value US$","23082","Total FDI inflows","2002","2002","millions","265.173686","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","070","Bosnia and Herzegovina","6110","Value US$","23082","Total FDI inflows","2003","2003","millions","381.053072","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","070","Bosnia and Herzegovina","6110","Value US$","23082","Total FDI inflows","2004","2004","millions","511.186165","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","070","Bosnia and Herzegovina","6110","Value US$","23082","Total FDI inflows","2005","2005","millions","351.185824","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","070","Bosnia and Herzegovina","6110","Value US$","23082","Total FDI inflows","2006","2006","millions","554.690031","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","070","Bosnia and Herzegovina","6110","Value US$","23082","Total FDI inflows","2007","2007","millions","1819.244227","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","070","Bosnia and Herzegovina","6110","Value US$","23082","Total FDI inflows","2008","2008","millions","1001.647693","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","070","Bosnia and Herzegovina","6110","Value US$","23082","Total FDI inflows","2009","2009","millions","249.948504","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","070","Bosnia and Herzegovina","6110","Value US$","23082","Total FDI inflows","2010","2010","millions","406.089088","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","070","Bosnia and Herzegovina","6110","Value US$","23082","Total FDI inflows","2011","2011","millions","496.525083","X","Figure from international organizations","UNCTAD"
