Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RP","Pesticides Use","048","Bahrain","5157","Agricultural Use","1357","Pesticides (total)","2001","2001","tonnes","9.2","E","Estimated value"
"RP","Pesticides Use","048","Bahrain","5157","Agricultural Use","1357","Pesticides (total)","2002","2002","tonnes","0.91","E","Estimated value"
"RP","Pesticides Use","048","Bahrain","5157","Agricultural Use","1357","Pesticides (total)","2003","2003","tonnes","6.03","E","Estimated value"
"RP","Pesticides Use","048","Bahrain","5157","Agricultural Use","1357","Pesticides (total)","2004","2004","tonnes","12.24","E","Estimated value"
"RP","Pesticides Use","048","Bahrain","5157","Agricultural Use","1357","Pesticides (total)","2005","2005","tonnes","12.75","E","Estimated value"
"RP","Pesticides Use","048","Bahrain","5157","Agricultural Use","1357","Pesticides (total)","2006","2006","tonnes","12.12","E","Estimated value"
"RP","Pesticides Use","048","Bahrain","5157","Agricultural Use","1357","Pesticides (total)","2007","2007","tonnes","16.25","E","Estimated value"
"RP","Pesticides Use","048","Bahrain","5157","Agricultural Use","1357","Pesticides (total)","2008","2008","tonnes","10.45","E","Estimated value"
"RP","Pesticides Use","048","Bahrain","5157","Agricultural Use","1357","Pesticides (total)","2009","2009","tonnes","12.59","E","Estimated value"
"RP","Pesticides Use","048","Bahrain","5157","Agricultural Use","1357","Pesticides (total)","2010","2010","tonnes","9.84","E","Estimated value"
"RP","Pesticides Use","048","Bahrain","5157","Agricultural Use","1357","Pesticides (total)","2011","2011","tonnes","9.14","E","Estimated value"
"RP","Pesticides Use","048","Bahrain","5157","Agricultural Use","1357","Pesticides (total)","2012","2012","tonnes","9.14","E","Estimated value"
"RP","Pesticides Use","048","Bahrain","5157","Agricultural Use","1357","Pesticides (total)","2013","2013","tonnes","9.14","E","Estimated value"
"RP","Pesticides Use","048","Bahrain","5157","Agricultural Use","1357","Pesticides (total)","2014","2014","tonnes","9.14","E","Estimated value"
"RP","Pesticides Use","048","Bahrain","5157","Agricultural Use","1357","Pesticides (total)","2015","2015","tonnes","9.14","E","Estimated value"
"RP","Pesticides Use","048","Bahrain","5157","Agricultural Use","1357","Pesticides (total)","2016","2016","tonnes","9.14","E","Estimated value"
"RP","Pesticides Use","048","Bahrain","5157","Agricultural Use","1357","Pesticides (total)","2017","2017","tonnes","9.14","E","Estimated value"
"RP","Pesticides Use","048","Bahrain","5157","Agricultural Use","1357","Pesticides (total)","2018","2018","tonnes","9.14","E","Estimated value"
"RP","Pesticides Use","048","Bahrain","5157","Agricultural Use","1357","Pesticides (total)","2019","2019","tonnes","9.14","E","Estimated value"
"RP","Pesticides Use","048","Bahrain","5157","Agricultural Use","1357","Pesticides (total)","2020","2020","tonnes","9.14","E","Estimated value"
"RP","Pesticides Use","050","Bangladesh","5157","Agricultural Use","1357","Pesticides (total)","1990","1990","tonnes","1266","E","Estimated value"
"RP","Pesticides Use","050","Bangladesh","5157","Agricultural Use","1357","Pesticides (total)","1991","1991","tonnes","1287","E","Estimated value"
"RP","Pesticides Use","050","Bangladesh","5157","Agricultural Use","1357","Pesticides (total)","1992","1992","tonnes","1453","E","Estimated value"
"RP","Pesticides Use","050","Bangladesh","5157","Agricultural Use","1357","Pesticides (total)","1993","1993","tonnes","1487","E","Estimated value"
"RP","Pesticides Use","050","Bangladesh","5157","Agricultural Use","1357","Pesticides (total)","1994","1994","tonnes","1594.5","E","Estimated value"
"RP","Pesticides Use","050","Bangladesh","5157","Agricultural Use","1357","Pesticides (total)","1995","1995","tonnes","1702","E","Estimated value"
"RP","Pesticides Use","050","Bangladesh","5157","Agricultural Use","1357","Pesticides (total)","1996","1996","tonnes","1919","E","Estimated value"
"RP","Pesticides Use","050","Bangladesh","5157","Agricultural Use","1357","Pesticides (total)","1997","1997","tonnes","2035","E","Estimated value"
"RP","Pesticides Use","050","Bangladesh","5157","Agricultural Use","1357","Pesticides (total)","1998","1998","tonnes","2068","E","Estimated value"
"RP","Pesticides Use","050","Bangladesh","5157","Agricultural Use","1357","Pesticides (total)","1999","1999","tonnes","2532","E","Estimated value"
"RP","Pesticides Use","050","Bangladesh","5157","Agricultural Use","1357","Pesticides (total)","2000","2000","tonnes","3170","E","Estimated value"
"RP","Pesticides Use","050","Bangladesh","5157","Agricultural Use","1357","Pesticides (total)","2001","2001","tonnes","3334.84","E","Estimated value"
"RP","Pesticides Use","050","Bangladesh","5157","Agricultural Use","1357","Pesticides (total)","2002","2002","tonnes","4206.24","E","Estimated value"
"RP","Pesticides Use","050","Bangladesh","5157","Agricultural Use","1357","Pesticides (total)","2003","2003","tonnes","5462.81","E","Estimated value"
"RP","Pesticides Use","050","Bangladesh","5157","Agricultural Use","1357","Pesticides (total)","2004","2004","tonnes","6995.51","E","Estimated value"
"RP","Pesticides Use","050","Bangladesh","5157","Agricultural Use","1357","Pesticides (total)","2005","2005","tonnes","8090.88","E","Estimated value"
"RP","Pesticides Use","050","Bangladesh","5157","Agricultural Use","1357","Pesticides (total)","2006","2006","tonnes","9412.65","E","Estimated value"
"RP","Pesticides Use","050","Bangladesh","5157","Agricultural Use","1357","Pesticides (total)","2007","2007","tonnes","10915.12","E","Estimated value"
"RP","Pesticides Use","050","Bangladesh","5157","Agricultural Use","1357","Pesticides (total)","2008","2008","tonnes","12403.08","E","Estimated value"
"RP","Pesticides Use","050","Bangladesh","5157","Agricultural Use","1357","Pesticides (total)","2009","2009","tonnes","13755.78","E","Estimated value"
"RP","Pesticides Use","050","Bangladesh","5157","Agricultural Use","1357","Pesticides (total)","2010","2010","tonnes","13250.83","E","Estimated value"
"RP","Pesticides Use","050","Bangladesh","5157","Agricultural Use","1357","Pesticides (total)","2011","2011","tonnes","14798.28","E","Estimated value"
"RP","Pesticides Use","050","Bangladesh","5157","Agricultural Use","1357","Pesticides (total)","2012","2012","tonnes","13289.18","E","Estimated value"
"RP","Pesticides Use","050","Bangladesh","5157","Agricultural Use","1357","Pesticides (total)","2013","2013","tonnes","15330.16","E","Estimated value"
"RP","Pesticides Use","050","Bangladesh","5157","Agricultural Use","1357","Pesticides (total)","2014","2014","tonnes","15857.26","E","Estimated value"
"RP","Pesticides Use","050","Bangladesh","5157","Agricultural Use","1357","Pesticides (total)","2015","2015","tonnes","13364.42","E","Estimated value"
"RP","Pesticides Use","050","Bangladesh","5157","Agricultural Use","1357","Pesticides (total)","2016","2016","tonnes","14387.63","E","Estimated value"
"RP","Pesticides Use","050","Bangladesh","5157","Agricultural Use","1357","Pesticides (total)","2017","2017","tonnes","15144.49","E","Estimated value"
"RP","Pesticides Use","050","Bangladesh","5157","Agricultural Use","1357","Pesticides (total)","2018","2018","tonnes","15144.49","E","Estimated value"
"RP","Pesticides Use","050","Bangladesh","5157","Agricultural Use","1357","Pesticides (total)","2019","2019","tonnes","15144.49","E","Estimated value"
"RP","Pesticides Use","050","Bangladesh","5157","Agricultural Use","1357","Pesticides (total)","2020","2020","tonnes","15506.47","E","Estimated value"
"RP","Pesticides Use","064","Bhutan","5157","Agricultural Use","1357","Pesticides (total)","1990","1990","tonnes","4.03","E","Estimated value"
"RP","Pesticides Use","064","Bhutan","5157","Agricultural Use","1357","Pesticides (total)","1991","1991","tonnes","4.55","E","Estimated value"
"RP","Pesticides Use","064","Bhutan","5157","Agricultural Use","1357","Pesticides (total)","1992","1992","tonnes","4.54","E","Estimated value"
"RP","Pesticides Use","064","Bhutan","5157","Agricultural Use","1357","Pesticides (total)","1993","1993","tonnes","3.4","E","Estimated value"
