Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FDI","Foreign Direct Investment (FDI)","268","Georgia","6110","Value US$","23082","Total FDI inflows","2009","2009","millions","664.191","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","268","Georgia","6110","Value US$","23082","Total FDI inflows","2010","2010","millions","845.1001","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","268","Georgia","6110","Value US$","23082","Total FDI inflows","2011","2011","millions","1129.948","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","268","Georgia","6110","Value US$","23082","Total FDI inflows","2012","2012","millions","1022.927793","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","268","Georgia","6110","Value US$","23082","Total FDI inflows","2013","2013","millions","1020.634","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","268","Georgia","6110","Value US$","23082","Total FDI inflows","2014","2014","millions","1836.979977","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","268","Georgia","6110","Value US$","23082","Total FDI inflows","2015","2015","millions","1728.736441","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","268","Georgia","6110","Value US$","23082","Total FDI inflows","2016","2016","millions","1652.577348","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","268","Georgia","6110","Value US$","23082","Total FDI inflows","2017","2017","millions","1978.281581","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","268","Georgia","6110","Value US$","23082","Total FDI inflows","2018","2018","millions","1306.290006","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","268","Georgia","6110","Value US$","23082","Total FDI inflows","2019","2019","millions","1310.773789","X","Figure from international organizations","UNCTAD"
"FDI","Foreign Direct Investment (FDI)","268","Georgia","6110","Value US$","23082","Total FDI inflows","2020","2020","millions","616.865566","X","Figure from international organizations","UNCTAD"
